Timestamp,RTU11_SfSts,RTU11_SfVfd(%),RTU11_SpcTStairW(°F),RTU12_DmprStairE(%),RTU12_SpcTStairE(°F)
29-Apr-19 2:55:00 am,,32.89,69.97,0.00,70.70
10-Nov-18 11:05:00 am,,33.32,60.46,0.00,61.99
05-Mar-19 2:30:00 am,,35.59,54.55,0.00,63.89
13-Feb-19 12:15:00 pm,,51.31,71.20,0.00,67.88
26-Nov-18 12:05:00 pm,,39.23,66.82,0.00,65.42
29-Jan-19 12:30:00 pm,,34.93,62.07,0.00,62.82
05-Feb-19 11:35:00 am,,34.06,63.96,0.00,65.07
24-Feb-19 11:20:00 pm,,31.80,57.09,0.00,60.27
21-Nov-18 10:10:00 am,,35.05,63.27,0.00,65.21
13-Jan-19 11:30:00 am,,36.44,61.47,0.00,61.57
02-Dec-18 7:45:00 pm,,34.29,60.92,0.00,62.57
03-Feb-19 1:15:00 pm,,35.57,64.28,0.00,63.63
16-Mar-19 6:50:00 am,,32.38,63.33,0.00,65.20
13-May-19 2:40:00 pm,,63.84,72.10,16.65,71.87
21-Jan-19 7:10:01 pm,,35.30,58.45,0.00,62.08
14-Mar-19 4:55:00 pm,,35.72,68.46,0.00,68.92
23-Jan-19 1:00:00 am,,33.13,58.69,0.00,61.60
06-Apr-19 3:40:00 pm,,31.83,70.89,0.00,70.04
30-Dec-18 2:00:00 pm,,34.69,60.19,0.00,59.40
19-Dec-18 5:45:00 am,,34.64,65.39,0.00,66.37
10-Mar-19 9:50:00 pm,,36.00,63.27,0.00,64.74
14-Apr-19 3:30:00 am,,33.09,64.42,0.00,66.24
29-Apr-19 12:05:00 pm,,41.93,71.94,0.00,71.24
08-May-19 2:05:00 am,,35.98,72.14,0.00,71.47
09-May-19 2:20:00 pm,,50.09,71.88,0.00,70.03
20-Feb-19 1:30:01 pm,,38.06,69.65,0.00,67.98
03-Apr-19 12:20:00 pm,,34.10,71.97,5.74,72.17
25-Feb-19 6:35:00 pm,,31.09,60.97,0.00,64.82
12-May-19 2:25:00 am,,32.28,70.04,0.00,73.41
04-Dec-18 6:20:00 am,,34.72,61.33,0.00,63.98
07-Mar-19 3:25:00 am,,34.43,61.05,0.00,65.04
02-Jan-19 6:00:00 pm,,34.09,60.68,0.00,64.13
06-Mar-19 9:30:00 pm,,35.21,62.28,0.00,65.98
08-Feb-19 4:20:00 pm,,34.56,69.45,0.00,66.18
02-Apr-19 2:35:01 am,,,,0.00,67.86
23-Apr-19 5:55:00 pm,,76.37,75.14,0.00,71.25
04-Dec-18 9:40:00 am,,33.00,61.71,0.00,65.34
07-Apr-19 11:50:01 am,,36.41,71.50,0.00,71.58
24-Mar-19 10:45:01 pm,,34.17,67.52,0.00,70.38
22-Nov-18 9:10:00 pm,,35.63,61.96,0.00,65.09
19-Dec-18 11:05:00 pm,,35.20,65.28,0.00,67.03
27-Mar-19 7:50:00 am,,34.36,68.98,0.00,69.80
14-Dec-18 12:30:00 am,,32.30,62.45,0.00,65.32
23-Nov-18 3:05:00 am,,36.79,61.88,0.00,63.56
12-Apr-19 4:55:00 pm,,34.94,67.58,0.00,67.81
01-Mar-19 12:30:00 am,,34.12,59.71,0.00,64.68
17-Mar-19 5:50:02 am,,33.52,62.12,0.00,64.65
10-May-19 12:35:00 am,,34.40,69.49,0.00,69.97
06-Mar-19 11:05:00 pm,,35.10,62.70,0.00,65.70
26-Dec-18 5:00:00 pm,,34.12,63.57,0.00,65.50
06-Dec-18 3:50:00 am,,31.82,61.09,0.00,63.43
21-Dec-18 8:55:01 pm,,36.09,63.12,0.00,65.85
23-Feb-19 5:40:00 pm,,36.29,62.89,0.00,63.93
02-Apr-19 10:00:01 am,,36.15,70.17,0.00,70.54
22-Feb-19 5:25:00 am,,33.73,60.83,0.00,65.57
11-Mar-19 3:45:00 am,,32.58,61.66,0.00,65.48
16-Jan-19 3:10:01 am,,33.63,61.05,0.00,63.54
19-Jan-19 10:45:00 am,,34.89,56.54,0.00,60.19
20-Feb-19 1:10:00 am,,35.18,61.82,0.00,65.73
10-May-19 1:30:00 am,,34.21,69.50,0.00,69.62
04-Jan-19 6:50:00 am,,36.53,62.30,0.00,64.95
26-Jan-19 2:10:00 pm,,33.31,58.01,0.00,57.69
30-Jan-19 2:30:00 pm,,33.73,55.56,0.00,58.61
19-Feb-19 5:20:00 pm,,34.74,68.23,0.00,67.77
06-May-19 1:10:00 am,,34.27,71.75,43.31,71.80
13-Nov-18 5:40:00 am,,33.10,57.55,0.00,59.90
18-Jan-19 10:05:00 pm,,35.28,59.36,0.00,62.83
28-Nov-18 6:10:00 am,,32.83,61.56,0.00,62.93
08-Jan-19 3:00:00 am,,35.21,63.41,0.00,65.40
08-Jan-19 1:55:00 am,,33.21,63.55,,
25-Apr-19 4:30:00 am,,34.39,72.08,75.27,70.94
30-Mar-19 4:55:01 am,,34.28,67.58,0.00,67.71
30-Mar-19 6:00:01 am,,33.29,67.15,0.00,67.38
18-Feb-19 1:40:00 am,,34.10,59.42,0.00,61.69
21-Feb-19 8:10:00 pm,,32.58,62.35,0.00,66.02
28-Apr-19 5:40:00 pm,,32.63,71.76,0.00,73.93
21-Dec-18 8:35:00 am,,35.80,63.77,0.00,65.84
04-Feb-19 10:50:00 pm,,32.10,59.58,0.00,64.14
20-Apr-19 1:25:00 am,,33.55,71.55,0.00,71.14
22-Jan-19 4:25:01 am,,34.19,56.94,0.00,58.78
12-Feb-19 4:40:00 pm,,34.58,66.37,0.00,66.57
